Account;Area;Kontakt;Kontakt 2;Latitude;Longitude;Segment;Licznik
24;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.38013;22.15411;4;1
118;OBSZAR 1;KONTAKT 2;KONTAKT BRAK;52.9893878;22.8875646;3;1
119;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.984378409826704;22.887906007889633;3;1
120;OBSZAR 1;KONTAKT 3;KONTAKT BRAK;53.3935089;23.470776;2;1
127;OBSZAR 1;KONTAKT 4;KONTAKT BRAK;53.0429;23.37303;4;1
169;OBSZAR 1;KONTAKT 5;KONTAKT BRAK;53.177523;22.044266;4;1
202;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.40705709516563;21.93033811754138;4;1
206;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;54.25329;23.07713;4;1
251;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.199745414506985;21.827069917586133;3;1
254;OBSZAR 1;KONTAKT 6;KONTAKT BRAK;54.1015483;22.9316954;2;1
286;OBSZAR 1;KONTAKT 5;KONTAKT BRAK;53.1616459;23.1992394;2;1
325;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.91962;23.01149;2;1
354;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.65883;22.51064;1;1
370;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.12861;23.25723;4;1
441;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.13885015842203;23.057179465282285;4;1
501;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;54.1236729;22.9341144;1;1
654;OBSZAR 1;KONTAKT 5;KONTAKT BRAK;53.0907121;22.4375128;3;1
655;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.1721;22.12708;1;1
791;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.1423065;23.1357739;3;1
806;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.72868;23.1971;1;1
823;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.14471264882095;23.15322220023067;4;1
860;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.17490186432159;22.03837849210829;2;1
861;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.16640899791283;22.08647560265166;3;1
865;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.15845101480869;22.079907633337925;3;1
894;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.43996;23.68359;1;1
924;OBSZAR 1;KONTAKT 7;KONTAKT BRAK;52.747434;23.582321;3;1
965;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.1422867;22.1857275;3;1
1080;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.83571;22.99044;4;1
1082;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.64290076674434;22.464984565047107;3;1
1085;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.64056;22.47527;1;1
1089;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.77500063234791;23.200714785261876;4;1
1090;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.65280067426834;22.462739577777374;1;1
1094;OBSZAR 1;KONTAKT 5;KONTAKT BRAK;53.1633629;22.065852;2;1
1106;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.56336128105549;22.287226324685463;4;1
1111;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.56767701359044;22.282858018208753;2;1
1189;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.1334901102777;23.137915239679604;3;1
1253;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.1185358;23.1751403;3;1
1265;OBSZAR 1;KONTAKT 2;KONTAKT BRAK;53.14908440000001;23.0818715;2;1
1266;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.12360779999999;23.1721133;2;1
1308;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.86922;23.5759;2;1
1361;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;54.079585;22.610975;2;1
1425;OBSZAR 1;KONTAKT 2;KONTAKT BRAK;53.0838328;23.103992;1;1
1455;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.07186;22.15805;3;1
1501;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.15800303776254;22.04571318274738;2;1
1530;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.3691;23.14999;1;1
1664;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.95094;22.36899;2;1
1674;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.19238;22.00045;2;1
1733;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.14913;22.40564;1;1
1765;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.129485;23.1770299;4;1
1767;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.91959;22.08399;4;1
1768;OBSZAR 1;KONTAKT 5;KONTAKT BRAK;52.919301;22.083407;3;1
1774;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.874671812710616;22.569852055680343;1;1
1829;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.46419;22.57167;4;1
1856;OBSZAR 1;KONTAKT 2;KONTAKT BRAK;52.7422637;22.8385333;1;1
1866;OBSZAR 1;KONTAKT 6;KONTAKT BRAK;54.17692348640545;22.633008916788736;4;1
1867;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;54.09887888282276;22.934825214017156;3;1
1868;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;54.09898206679787;22.934507660922502;3;1
1869;OBSZAR 1;KONTAKT 6;KONTAKT BRAK;54.12291549389984;22.94488494520842;4;1
1870;OBSZAR 1;KONTAKT 6;KONTAKT BRAK;54.095547;22.653764;3;1
1926;OBSZAR 1;KONTAKT 4;KONTAKT BRAK;53.1331953;23.1615273;1;1
1947;OBSZAR 1;KONTAKT 3;KONTAKT BRAK;53.2062831;23.201342;3;1
1948;OBSZAR 1;KONTAKT 8;KONTAKT BRAK;53.56745209546256;22.284804201152987;4;1
1949;OBSZAR 1;KONTAKT 2;KONTAKT BRAK;52.9906272;22.8758898;1;1
1950;OBSZAR 1;KONTAKT 7;KONTAKT BRAK;52.772853;23.1911719;4;1
1952;OBSZAR 1;KONTAKT 5;KONTAKT BRAK;53.4017041;22.8006187;3;1
1953;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.77167349651866;23.193065592449894;2;1
1954;OBSZAR 1;KONTAKT 4;KONTAKT BRAK;53.4101519;21.927532;1;1
1955;OBSZAR 1;KONTAKT 2;KONTAKT BRAK;52.74370099999999;22.848491;2;1
1956;OBSZAR 1;KONTAKT 7;KONTAKT BRAK;52.78383059999999;23.2097979;1;1
1957;OBSZAR 1;KONTAKT 3;KONTAKT BRAK;53.57652119999999;23.1157756;3;1
1959;OBSZAR 1;KONTAKT 7;KONTAKT BRAK;52.739984;23.576761;2;1
1961;OBSZAR 1;KONTAKT 7;KONTAKT BRAK;52.77477099999999;23.195821;3;1
1962;OBSZAR 1;KONTAKT 2;KONTAKT BRAK;52.8570349;22.71001;1;1
1965;OBSZAR 1;KONTAKT 7;KONTAKT BRAK;52.77969179999999;23.1997668;1;1
1966;OBSZAR 1;KONTAKT 2;KONTAKT BRAK;52.7249497;22.7283864;4;1
1967;OBSZAR 1;KONTAKT 3;KONTAKT BRAK;53.4016949;23.4862;2;1
1968;OBSZAR 1;KONTAKT 7;KONTAKT BRAK;52.775465;23.1853901;2;1
1969;OBSZAR 1;KONTAKT 7;KONTAKT BRAK;52.7583956;23.2129622;1;1
1970;OBSZAR 1;KONTAKT 8;KONTAKT BRAK;53.8543648;23.0109318;3;1
1971;OBSZAR 1;KONTAKT 8;KONTAKT BRAK;53.643422;22.46454;1;1
1972;OBSZAR 1;KONTAKT 7;KONTAKT BRAK;52.7541416;23.1851235;1;1
1973;OBSZAR 1;KONTAKT 7;KONTAKT BRAK;52.7521277;23.1754988;4;1
1974;OBSZAR 1;KONTAKT 4;KONTAKT BRAK;53.10568439999999;23.1253169;1;1
1976;OBSZAR 1;KONTAKT 7;KONTAKT BRAK;52.769528;23.1966009;3;1
1979;OBSZAR 1;KONTAKT 7;KONTAKT BRAK;52.90376999999999;23.5350185;4;1
2110;OBSZAR 1;KONTAKT 4;KONTAKT BRAK;53.13968300000001;23.1281459;2;1
2176;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.015461261176064;22.51126289190968;1;1
2186;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.06884;22.15665;4;1
2213;OBSZAR 1;KONTAKT 5;KONTAKT BRAK;53.16424;22.06788;4;1
2226;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.10361995278471;23.13923324604923;3;1
2242;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.04328;22.92106;1;1
2302;OBSZAR 1;KONTAKT 8;KONTAKT BRAK;53.989361;22.782766;4;1
2325;OBSZAR 1;KONTAKT 6;KONTAKT BRAK;54.113757;22.943354;1;1
2348;OBSZAR 1;KONTAKT 6;KONTAKT BRAK;54.1011074;22.9337575;1;1
2385;OBSZAR 1;KONTAKT 8;KONTAKT BRAK;53.8401577;22.9838832;3;1
2425;OBSZAR 1;KONTAKT 2;KONTAKT BRAK;52.9924449;22.701884;4;1
2452;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.38853;21.85963;2;1
2469;OBSZAR 1;KONTAKT 3;KONTAKT BRAK;53.2075614;23.2047234;4;1
2523;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.15126850808167;23.16657147713043;4;1
2583;OBSZAR 1;KONTAKT 2;KONTAKT BRAK;52.77698239999999;22.5060658;1;1
2584;OBSZAR 1;KONTAKT 2;KONTAKT BRAK;52.7861316;22.5022896;4;1
2610;OBSZAR 1;KONTAKT 3;KONTAKT BRAK;53.681599;23.098356;2;1
2650;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.42185;21.7901709;2;1
2660;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.47577;22.28788;2;1
2702;OBSZAR 1;KONTAKT 4;KONTAKT BRAK;53.1420122;23.1413399;1;1
2747;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.10910875037317;23.65386376548142;4;1
2748;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.7558123;23.5836849;2;1
2750;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.88873;22.1406;3;1
2769;OBSZAR 1;KONTAKT 6;KONTAKT BRAK;54.3241831;22.9629748;4;1
2786;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.1732178;22.0934024;2;1
2809;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.15065338090067;23.11063631930204;4;1
2838;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;52.74439966820849;22.849869419145776;3;1
2990;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.03627;23.61741;1;1
3070;OBSZAR 1;KONTAKT BRAK;KONTAKT BRAK;53.13027;22.16093;3;1
3205;OBSZAR 1;KONTAKT 3;KONTAKT BRAK;53.199079;23.202165;4;1
3262;OBSZAR 1;KONTAKT 4;KONTAKT BRAK;53.14656;23.152085;1;1
